Date,Q-P1,Q-P2,Q-P3,Q-P4,S-P1,S-P2,S-P3,S-P4,Total_Sales
2010-11-11,833,352,3143,363,2640.61,2231.68,17035.06,2588.19,24495.54
2010-11-12,5185,3088,4103,355,16436.45,19577.92,22238.26,2531.15,60783.77999999999
2010-11-13,4865,3951,5405,975,15422.05,25049.34,29295.1,6951.75,76718.23999999999
2010-11-14,302,3568,2467,1238,957.34,22621.12,13371.14,8826.94,45776.54
2010-11-15,7506,3191,438,1481,23794.02,20230.94,2373.96,10559.53,56958.45
2010-11-16,948,3510,3475,1478,3005.16,22253.4,18834.5,10538.14,54631.2
2010-11-17,2047,2179,2797,1064,6488.99,13814.86,15159.74,7586.32,43049.909999999996
2010-11-18,3100,2064,1988,712,9827.0,13085.76,10774.96,5076.56,38764.28
2010-11-19,6094,1287,4889,1795,19317.98,8159.58,26498.38,12798.35,66774.29000000001
2010-11-20,3837,1440,3623,518,12163.29,9129.6,19636.66,3693.34,44622.89
2010-11-21,7427,2519,831,1182,23543.59,15970.46,4504.02,8427.66,52445.73000000001
2010-11-22,2324,357,2214,335,7367.08,2263.38,11999.88,2388.55,24018.889999999996
2010-11-23,648,2866,5649,1474,2054.16,18170.44,30617.58,10509.62,61351.8
2010-11-24,2555,3417,3839,1345,8099.35,21663.78,20807.38,9589.85,60160.35999999999
2010-11-25,1969,1090,4935,1615,6241.73,6910.6,26747.7,11514.95,51414.979999999996
2010-11-26,398,976,4694,355,1261.66,6187.84,25441.48,2531.15,35422.13
2010-11-27,4036,3114,3744,498,12794.12,19742.76,20292.48,3550.74,56380.1
2010-11-28,1804,2575,5852,1478,5718.68,16325.5,31717.84,10538.14,64300.16
2010-11-29,6997,3913,5577,1827,22180.49,24808.42,30227.34,13026.51,90242.76
2010-11-30,1655,2876,4278,1361,5246.35,18233.84,23186.76,9703.93,56370.88
2010-12-01,1736,911,405,1682,5503.12,5775.74,2195.1,11992.66,25466.620000000003
2010-12-02,6374,1409,5807,1056,20205.58,8933.06,31473.94,7529.28,68141.86
2010-12-03,969,2566,716,1478,3071.73,16268.44,3880.72,10538.14,33759.03
2010-12-04,3556,3903,5729,637,11272.52,24745.02,31051.18,4541.81,71610.53
2010-12-05,1596,3228,351,1825,5059.32,20465.52,1902.42,13012.25,40439.51
2010-12-06,5138,3926,4864,256,16287.46,24890.84,26362.88,1825.28,69366.46
2010-12-07,6821,2510,3503,597,21622.57,15913.4,18986.26,4256.61,60778.84
2010-12-08,5877,1567,4069,636,18630.09,9934.78,22053.98,4534.68,55153.530000000006
2010-12-09,5135,1774,1870,652,16277.95,11247.16,10135.4,4648.76,42309.270000000004
2010-12-10,5244,2991,3217,1910,16623.48,18962.94,17436.14,13618.3,66640.86
2010-12-11,2610,3664,4707,728,8273.7,23229.76,25511.94,5190.64,62206.03999999999
2010-12-12,4116,3549,4374,1179,13047.72,22500.66,23707.08,8406.27,67661.73
2010-12-13,5843,2283,4160,1239,18522.31,14474.22,22547.2,8834.07,64377.799999999996
2010-12-14,5274,978,3655,1788,16718.58,6200.52,19810.1,12748.44,55477.64
2010-12-15,2143,1253,3742,329,6793.31,7944.02,20281.64,2345.77,37364.74
2010-12-16,7014,2877,2129,1012,22234.38,18240.18,11539.18,7215.56,59229.299999999996
2010-12-17,4408,692,3389,434,13973.36,4387.28,18368.38,3094.42,39823.44
2010-12-18,5578,2699,2917,960,17682.26,17111.66,15810.14,6844.8,57448.86
2010-12-19,5930,1998,3351,268,18798.1,12667.32,18162.42,1910.84,51538.67999999999
2010-12-20,3619,575,1983,1372,11472.23,3645.5,10747.86,9782.36,35647.95
2010-12-21,575,1261,5039,1056,1822.75,7994.74,27311.38,7529.28,44658.15
2010-12-22,7064,3919,2005,1893,22392.88,24846.46,10867.1,13497.09,71603.53
2010-12-23,651,3418,5831,1018,2063.67,21670.12,31604.02,7258.34,62596.149999999994
2010-12-24,5006,752,4432,706,15869.02,4767.68,24021.44,5033.78,49691.92
2010-12-25,374,970,511,1005,1185.58,6149.8,2769.62,7165.65,17270.65
2010-12-26,3398,1524,5864,725,10771.66,9662.16,31782.88,5169.25,57385.95
2010-12-27,7935,1473,5052,1955,25153.95,9338.82,27381.84,13939.15,75813.76
2010-12-28,2801,1773,2744,1810,8879.17,11240.82,14872.48,12905.3,47897.770000000004
2010-12-29,6443,1773,3781,942,20424.31,11240.82,20493.02,6716.46,58874.61
2010-12-30,6216,3519,5529,1807,19704.72,22310.46,29967.18,12883.91,84866.27
2011-01-01,281,3956,4186,1537,890.77,25081.04,22688.12,10958.81,59618.74
2011-01-02,7665,1350,4266,1789,24298.05,8559.0,23121.72,12755.57,68734.34
2011-01-03,937,3758,4311,314,2970.29,23825.72,23365.62,2238.82,52400.450000000004
2011-01-04,6378,968,4530,995,20218.26,6137.12,24552.6,7094.35,58002.329999999994
2011-01-05,731,2174,5908,1505,2317.27,13783.16,32021.36,10730.65,58852.44
2011-01-06,2032,3556,349,815,6441.44,22545.04,1891.58,5810.95,36689.009999999995
2011-01-07,1514,3321,5699,1371,4799.38,21055.14,30888.58,9775.23,66518.33
2011-01-08,410,865,2384,1502,1299.7,5484.1,12921.28,10709.26,30414.340000000004
2011-01-09,489,3673,3283,522,1550.13,23286.82,17793.86,3721.86,46352.67
2011-01-10,1326,2810,4408,1535,4203.42,17815.4,23891.36,10944.55,56854.729999999996
2011-01-11,2535,3027,4185,1219,8035.95,19191.18,22682.7,8691.47,58601.3
2011-01-12,351,3737,1581,986,1112.67,23692.58,8569.02,7030.18,40404.450000000004
2011-01-13,2480,676,5982,475,7861.6,4285.84,32422.44,3386.75,47956.63
2011-01-14,408,2952,3147,1635,1293.36,18715.68,17056.74,11657.55,48723.33
2011-01-15,2428,1279,4992,452,7696.76,8108.86,27056.64,3222.76,46085.02
2011-01-16,1593,2972,409,343,5049.81,18842.48,2216.78,2445.59,28554.66
2011-01-17,5324,1418,3883,687,16877.08,8990.12,21045.86,4898.31,51811.37
2011-01-18,2623,586,385,1651,8314.91,3715.24,2086.7,11771.63,25888.479999999996
2011-01-19,3082,357,4745,1805,9769.94,2263.38,25717.9,12869.65,50620.87
2011-01-20,562,3519,1232,864,1781.54,22310.46,6677.44,6160.32,36929.759999999995
2011-01-21,7642,2224,5279,651,24225.14,14100.16,28612.18,4641.63,71579.11000000002
2011-01-22,4351,2127,1694,508,13792.67,13485.18,9181.48,3622.04,40081.37
2011-01-23,6487,426,3380,1576,20563.79,2700.84,18319.6,11236.88,52821.10999999999
2011-01-24,2604,821,586,1567,8254.68,5205.14,3176.12,11172.71,27808.649999999998
2011-01-25,7652,339,1610,377,24256.84,2149.26,8726.2,2688.01,37820.310000000005
2011-01-26,295,762,2728,477,935.15,4831.08,14785.76,3401.01,23953.0
2011-01-27,1486,2309,3206,975,4710.62,14639.06,17376.52,6951.75,43677.95
2011-01-28,2002,1770,709,1363,6346.34,11221.8,3842.78,9718.19,31129.11
2011-01-29,6688,1529,2796,1808,21200.96,9693.86,15154.32,12891.04,58940.18
2011-01-30,5943,2206,5708,1427,18839.31,13986.04,30937.36,10174.51,73937.22
2011-01-31,939,3325,1863,1612,2976.63,21080.5,10097.46,11493.56,45648.149999999994
2011-02-01,7590,1909,3479,960,24060.3,12103.06,18856.18,6844.8,61864.340000000004
2011-02-02,1914,3478,3420,1373,6067.38,22050.52,18536.4,9789.49,56443.79
2011-02-03,2559,674,5250,1171,8112.03,4273.16,28455.0,8349.23,49189.42
2011-02-04,1887,3763,4099,858,5981.79,23857.42,22216.58,6117.54,58173.33
2011-02-05,4925,3326,3186,1174,15612.25,21086.84,17268.12,8370.62,62337.829999999994
2011-02-06,1814,3589,1183,1581,5750.38,22754.26,6411.86,11272.53,46189.03
2011-02-07,513,2802,5147,890,1626.21,17764.68,27896.74,6345.7,53633.33
2011-02-08,2717,496,1777,1875,8612.89,3144.64,9631.34,13368.75,34757.619999999995
2011-02-09,3652,2629,1739,1835,11576.84,16667.86,9425.38,13083.55,50753.630000000005
2011-02-10,3072,762,2218,449,9738.24,4831.08,12021.56,3201.37,29792.249999999996
2011-02-11,1912,2167,5992,891,6061.04,13738.78,32476.64,6352.83,58629.29
2011-02-12,1003,578,1188,1549,3179.51,3664.52,6438.96,11044.37,24327.36
2011-02-13,7652,1813,4636,990,24256.84,11494.42,25127.12,7058.7,67937.08
2011-02-14,1845,799,4669,1012,5848.65,5065.66,25305.98,7215.56,43435.85
2011-02-15,1601,2924,4384,1480,5075.17,18538.16,23761.28,10552.4,57927.01
2011-02-16,3735,266,5017,1574,11839.95,1686.44,27192.14,11222.62,51941.15
2011-02-17,5129,3374,258,631,16258.93,21391.16,1398.36,4499.03,43547.479999999996
2011-02-18,299,1945,5483,1527,947.83,12331.3,29717.86,10887.51,53884.5
2011-02-19,6216,3625,5546,961,19704.72,22982.5,30059.32,6851.93,79598.47
2011-02-20,1953,3677,2640,1219,6191.01,23312.18,14308.8,8691.47,52503.46000000001
2011-02-21,5691,2610,595,1462,18040.47,16547.4,3224.9,10424.06,48236.83
2011-02-22,5590,2418,1327,575,17720.3,15330.12,7192.34,4099.75,44342.509999999995
2011-02-23,1402,1086,2256,1138,4444.34,6885.24,12227.52,8113.94,31671.039999999997
2011-02-24,3491,2529,3646,1872,11066.47,16033.86,19761.32,13347.36,60209.01
2011-02-25,6231,3713,916,564,19752.27,23540.42,4964.72,4021.32,52278.73
2011-02-26,6113,3831,4455,1969,19378.21,24288.54,24146.1,14038.97,81851.82
2011-02-27,1464,3861,2510,1841,4640.88,24478.74,13604.2,13126.33,55850.15000000001
2011-02-28,3338,3434,4400,1571,10581.46,21771.56,23848.0,11201.23,67402.25
2011-03-01,5454,998,2637,1233,17289.18,6327.32,14292.54,8791.29,46700.33
2011-03-02,7204,811,5885,475,22836.68,5141.74,31896.7,3386.75,63261.869999999995
2011-03-03,7588,1054,1370,395,24053.96,6682.36,7425.4,2816.35,40978.07
2011-03-04,4454,1135,5698,270,14119.18,7195.9,30883.16,1925.1,54123.340000000004
2011-03-05,4281,524,593,1970,13570.77,3322.16,3214.06,14046.1,34153.090000000004
2011-03-06,2297,270,3216,1964,7281.49,1711.8,17430.72,14003.32,40427.33
2011-03-07,1846,1503,2769,1700,5851.82,9529.02,15007.98,12121.0,42509.82
2011-03-08,6073,1068,1075,596,19251.41,6771.12,5826.5,4249.48,36098.509999999995
2011-03-09,6109,3729,5224,1681,19365.53,23641.86,28314.08,11985.53,83307.0
2011-03-10,6477,3178,747,822,20532.09,20148.52,4048.74,5860.86,50590.21
2011-03-11,6226,2493,3489,751,19736.42,15805.62,18910.38,5354.63,59807.049999999996
2011-03-12,2626,1626,1794,1725,8324.42,10308.84,9723.48,12299.25,40655.990000000005
2011-03-13,6693,2292,5488,1078,21216.81,14531.28,29744.96,7686.14,73179.19
2011-03-14,1698,509,620,1221,5382.66,3227.06,3360.4,8705.73,20675.85
2011-03-15,3982,3468,3067,487,12622.94,21987.12,16623.14,3472.31,54705.509999999995
2011-03-16,1645,3966,4044,1626,5214.65,25144.44,21918.48,11593.38,63870.94999999999
2011-03-17,5848,1072,2651,337,18538.16,6796.48,14368.42,2402.81,42105.869999999995
2011-03-18,824,1263,1278,1826,2612.08,8007.42,6926.76,13019.38,30565.64
2011-03-19,1342,3246,4990,1546,4254.14,20579.64,27045.8,11022.98,62902.56
2011-03-20,581,883,1833,718,1841.77,5598.22,9934.86,5119.34,22494.19
2011-03-21,1906,1021,5985,1411,6042.02,6473.14,32438.7,10060.43,55014.29
2011-03-22,7910,1290,2715,1375,25074.7,8178.6,14715.3,9803.75,57772.350000000006
2011-03-23,2320,983,505,633,7354.4,6232.22,2737.1,4513.29,20837.01
2011-03-24,7283,3595,5422,747,23087.11,22792.3,29387.24,5326.11,80592.76000000001
2011-03-25,2316,2964,1346,315,7341.72,18791.76,7295.32,2245.95,35674.75
2011-03-26,6993,2134,2058,427,22167.81,13529.56,11154.36,3044.51,49896.240000000005
2011-03-27,4148,3816,2449,1163,13149.16,24193.44,13273.58,8292.19,58908.37
2011-03-28,5076,2352,1230,1550,16090.92,14911.68,6666.6,11051.5,48720.7
2011-03-29,7922,2889,4665,356,25112.74,18316.26,25284.3,2538.28,71251.58
2011-03-30,1174,3980,4739,1168,3721.58,25233.2,25685.38,8327.84,62968.0
2011-03-31,464,2220,421,1663,1470.88,14074.8,2281.82,11857.19,29684.690000000002
2011-04-01,4176,1068,1958,1985,13237.92,6771.12,10612.36,14153.05,44774.45
2011-04-02,1314,3826,1653,1874,4165.38,24256.84,8959.26,13361.62,50743.100000000006
2011-04-03,1947,2925,4086,1794,6171.99,18544.5,22146.12,12791.22,59653.83
2011-04-04,2226,3245,1005,746,7056.42,20573.3,5447.1,5318.98,38395.8
2011-04-05,3159,1842,1408,421,10014.03,11678.28,7631.36,3001.73,32325.4
2011-04-06,6244,3283,2935,395,19793.48,20814.22,15907.7,2816.35,59331.74999999999
2011-04-07,7436,1300,3444,1945,23572.12,8242.0,18666.48,13867.85,64348.45
2011-04-08,6742,2425,4512,1168,21372.14,15374.5,24455.04,8327.84,69529.52
2011-04-09,483,507,2413,1389,1531.11,3214.38,13078.46,9903.57,27727.519999999997
2011-04-10,3840,617,1239,1696,12172.8,3911.78,6715.38,12092.48,34892.44
2011-04-11,2471,1187,5553,1572,7833.07,7525.58,30097.26,11208.36,56664.27
2011-04-12,2651,1807,3716,701,8403.67,11456.38,20140.72,4998.13,44998.9
2011-04-13,3096,1732,2198,607,9814.32,10980.88,11913.16,4327.91,37036.27
2011-04-14,2764,641,743,263,8761.88,4063.94,4027.06,1875.19,18728.07
2011-04-15,1836,698,5337,1119,5820.12,4425.32,28926.54,7978.47,47150.45
2011-04-16,4836,1505,5600,519,15330.12,9541.7,30352.0,3700.47,58924.29
2011-04-17,2900,1512,2201,1641,9193.0,9586.08,11929.42,11700.33,42408.83
2011-04-18,2501,3322,4078,1683,7928.17,21061.48,22102.76,11999.79,63092.200000000004
2011-04-19,610,2304,2971,1657,1933.7,14607.36,16102.82,11814.41,44458.29
2011-04-20,2319,3222,704,1208,7351.23,20427.48,3815.68,8613.04,40207.43
2011-04-21,7155,1511,3626,662,22681.35,9579.74,19652.92,4720.06,56634.06999999999
2011-04-22,1433,2490,1664,1475,4542.61,15786.6,9018.88,10516.75,39864.84
2011-04-23,697,788,5433,1872,2209.49,4995.92,29446.86,13347.36,49999.630000000005
2011-04-24,6149,2464,2089,689,19492.33,15621.76,11322.38,4912.57,51349.04
2011-04-25,5382,3474,4141,464,17060.94,22025.16,22444.22,3308.32,64838.64
